Content,Paper Name,Label,Document Type,Affiliations,Cleaned_Content
"Background: Anomalies in healthcare refer to deviation from the norm of unusual or unexpected patterns or activities related to patients, diseases or medical centres. Detecting these anomalies is crucial for timely interventions and efficient decision-making, helping to identify issues like operational inefficiencies, fraud and emerging health complications. Objectives: This study presents a novel method for detecting both collective and individual anomalies in healthcare data through time series analysis using unsupervised machine learning. The dual-strategy approach leverages two methodologies: a ’practice centre-based approach’ which monitors changes across different practice centres and a ’process-based approach’ which focuses on identifying anomalies within individual centres. The former allows for early detection of systemic issues, while the latter highlights specific irregularities within a centre's operations. Methods: The study utilised a dataset over 500,000 medical records from multiple GP practice centres in the UK collected between 2018–2023. Data are clustered using DBSCAN to identify collective anomalies",Smart data-driven medical decisions through collective and individual anomaly detection in healthcare time series,electronic health records,Article,,background anomaly healthcare refer deviation norm unusual unexpected pattern activity related patient disease medical centre detecting anomaly crucial timely intervention efficient decision making helping identify issue like operational inefficiency fraud emerging health complication objective study present novel method detecting collective individual anomaly healthcare data time series analysis using unsupervised machine learning dual strategy approach leverage two methodology practice centre based approach monitor change across different practice centre process based approach focus identifying anomaly within individual centre former allows early detection systemic issue latter highlight specific irregularity within centre operation method study utilised dataset medical record multiple gp practice centre uk collected data clustered using dbscan identify collective anomaly
"Secure data transmission is critical to cloud-based electronic healthcare (e-healthcare) systems. Upon delving into the literature, it becomes clear that several security mechanisms have been developed to ensure the security of exchanged information across patients, physicians, and the cloud server, but they do not resist vulnerabilities such as man-in-the-middle, side-channel, and session key hijacking attacks. These vulnerabilities can seriously compromise the integrity of exchanged medical records. In light of this, the article proposes a cloud-assisted key agreement protocol for the e-healthcare system to enable secure authentication for patient monitoring, enhancing mutual authentication of the participating entities and creating protected session keys for secure open-channel communication. The proposed methodology employs robust and lightweight procedures, including SHA-256 and Elliptic Curve Cryptography (ECC), while considering the challenges of implementing strong security protocols in healthcare systems, such as the need for high performance and low energy consumption. The proof of correctness and robustness of",A cloud-assisted key agreement protocol for the E-healthcare system,electronic health records,Article,,secure data transmission critical cloud based electronic healthcare healthcare system upon delving literature becomes clear several security mechanism developed ensure security exchanged information across patient physician cloud server resist vulnerability man middle side channel session key hijacking attack vulnerability seriously compromise integrity exchanged medical record light article proposes cloud assisted key agreement protocol healthcare system enable secure authentication patient monitoring enhancing mutual authentication participating entity creating protected session key secure open channel communication proposed methodology employ robust lightweight procedure including sha elliptic curve cryptography ecc considering challenge implementing strong security protocol healthcare system need high performance low energy consumption proof correctness robustness
"Background: Subjective, Objective, Assessment, Plan (SOAP) notes are a critical component of medical documentation. Their completeness and accuracy are critical in healthcare settings. This study evaluates the effectiveness of machine learning methods for analyzing SOAP notes to determine whether each note contains all four required elements. Methods: Using a dataset of 889 SOAP notes from primary care physician progress notes, we compared multinomial Naive Bayes, logistic regression, random forest, and multilayer perceptron neural networks. We applied standard text preprocessing including lowercasing, tokenization, and vectorization with Term Frequency-Inverse Document Frequency (TF-IDF) weighting. Performance was evaluated using accuracy, precision, recall, and F1 Score through five-fold cross-validation and final testing. Results: The Naive Bayes classifier outperformed other models, achieving 80.39% accuracy, 81.76% precision, 80.39% recall, and 78.49% F1 Score on the test set. Closer examination revealed that adjusting the probability threshold parameter allows balancing false positives (incorrectly identifying present sections) against false negatives",Clinical SOAP notes completeness checking using machine learning,electronic health records,Article,,background subjective objective assessment plan soap note critical component medical documentation completeness accuracy critical healthcare setting study evaluates effectiveness machine learning method analyzing soap note determine whether note contains four required element method using dataset soap note primary care physician progress note compared multinomial naive bayes logistic regression random forest multilayer perceptron neural network applied standard text preprocessing including lowercasing tokenization vectorization term frequency inverse document frequency tf idf weighting performance evaluated using accuracy precision recall score five fold cross validation final testing result naive bayes classifier outperformed model achieving accuracy precision recall score test set closer examination revealed adjusting probability threshold parameter allows balancing false positive incorrectly identifying present section false negative
"Introduction: Data on arterial thromboembolism in children undergoing cardiac surgery are limited. We sought to characterise, and estimate rates of, incident and recurrent arterial thromboembolism, and describe antithrombotic therapies for treatment in a large multinational population of children with CHD undergoing cardiac surgery. Methods: We queried the TriNetX global electronic health record (derived real-world data research platform) from 2017 to 2024 for patients less than 18 years of age and an index arterial thromboembolism within 1 year of congenital cardiac surgery. Data were descriptively analysed. Results: Of 20,102 children who underwent an index cardiac surgery for CHD, 206 (1.1%) developed an index arterial thromboembolism within 1 year of surgery: 111 (53.9%) had only arterial thromboembolism and 95 (46.1%) had concomitant venous thromboembolism. The most common anatomic site for arterial thromboembolism was the lower extremity (n = 141, 68.4%), and the most common surgery was the Glenn procedure (n = 35,","Arterial thromboembolism, antithrombotic therapy, and risk of recurrent thromboembolism in children with CHD undergoing cardiac surgery",electronic health records,Article,,introduction data arterial thromboembolism child undergoing cardiac surgery limited sought characterise estimate rate incident recurrent arterial thromboembolism describe antithrombotic therapy treatment large multinational population child chd undergoing cardiac surgery method queried trinetx global electronic health record derived real world data research platform patient less year age index arterial thromboembolism within year congenital cardiac surgery data descriptively analysed result child underwent index cardiac surgery chd developed index arterial thromboembolism within year surgery arterial thromboembolism concomitant venous thromboembolism common anatomic site arterial thromboembolism lower extremity common surgery glenn procedure
"Introduction: The Predictors of Workload in the Emergency Room (POWER) study, published in 2009 using data from 2003, examined the workload of emergency physicians using the Canadian Triage and Acuity Scale (CTAS) as a surrogate marker. Many hospitals use a case-mix formula incorporating annual census and POWER’s study data to determine staffing levels. However, significant changes in emergency medicine have occurred since its publication, including the implementation of electronic health record systems, increased patient complexity, real-time dictation software, and human health resource challenges due to the COVID-19 pandemic. In this study we aimed to quantify the time required to perform tasks during the care of ambulatory emergency department (ED) patients. Our secondary objective was to stratify these times based on CTAS and clinician factors. Methods: We conducted a prospective observational time-motion study in the urgent care section of a tertiary-care, academic ED with 90,000 visits annually, 70% of which are",Time Motion Analysis of Emergency Physician Workload in Urgent Care Settings,electronic health records,Article,,introduction predictor workload emergency room power study published using data examined workload emergency physician using canadian triage acuity scale ctas surrogate marker many hospital use case mix formula incorporating annual census power study data determine staffing level however significant change emergency medicine occurred since publication including implementation electronic health record system increased patient complexity real time dictation software human health resource challenge due covid pandemic study aimed quantify time required perform task care ambulatory emergency department ed patient secondary objective stratify time based ctas clinician factor method conducted prospective observational time motion study urgent care section tertiary care academic ed visit annually
"Digital transformation of healthcare has led to widespread adoption of Electronic Health Records (EHRs), significantly enhancing the accessibility and efficiency of clinical workflows, administrative processes and biomedical research. Given the highly sensitive nature of patient data, ensuring its confidentiality, integrity and controlled access is paramount. However, conventional EHR systems predominantly rely on centralized storage architectures, which are vulnerable to unauthorized access, data breaches and insider threats, posing severe privacy and security concerns. To address these challenges, blockchain technology offers a promising decentralized infrastructure characterized by immutability, transparency and distributed trust. By integrating smart contracts and secure transaction logging, blockchain strengthens data provenance and enforces auditable access control in healthcare systems. Complementing this, encryption techniques are essential for maintaining confidentiality; however, traditional key generation and management approaches often lack adaptability and entropy, limiting their robustness in dynamic threat landscapes. This paper proposes a novel hybrid optimization framework that combines the Sunflower",Blockchain-Based HSFO Framework for Privacy Preservation of Health Care Data Using Hybrid Algorithms,electronic health records,Conference paper,,digital transformation healthcare led widespread adoption electronic health record ehrs significantly enhancing accessibility efficiency clinical workflow administrative process biomedical research given highly sensitive nature patient data ensuring confidentiality integrity controlled access paramount however conventional [Cluster] system predominantly rely centralized storage architecture vulnerable unauthorized access data breach insider threat posing severe privacy security concern address challenge blockchain technology offer promising decentralized infrastructure characterized immutability transparency distributed trust integrating smart contract secure transaction logging blockchain strengthens data provenance enforces auditable access control healthcare system complementing encryption technique essential maintaining confidentiality however traditional key generation management approach often lack adaptability entropy limiting robustness dynamic threat landscape paper proposes novel hybrid optimization framework combine sunflower
"The impact of the use of electronic medical records (EMRs) on health projects in sub-Saharan Africa and specifically in Kenya is not known. We conducted an ex post facto mixed methods cross-sectional descriptive survey among 191 healthcare providers in comprehensive care centers to understand the perceived association between utilization of the EMRs and management outcomes of HIV/AIDS projects in eight high volume public health facilities in Kisumu County, Kenya. A standardized open-ended questionnaire and a key informant interview guide were used to collect both quantitative and qualitative data. The study findings demonstrated a high level of perceived utilization of the EMRs within the HIV/AIDS projects across the selected health facilities. There was a statistically significant positive correlation between utilization of EMRs and management outcomes of HIV/AIDS projects. Utilization of the EMRs for data services could explain significant variation in management outcomes of HIV/AIDS projects. Using content analysis, we unearthed five","Using Electronic Health Records to Improve Management of HIV/AIDS Clients: A Cross-Sectional Survey Among Healthcare Providers in Kisumu County, Kenya",electronic health records,Article,,impact use electronic medical record emrs health project sub saharan africa specifically kenya known conducted ex post facto mixed method cross sectional descriptive survey among healthcare provider comprehensive care center understand perceived association utilization emrs management outcome hiv aid project eight high volume public health facility kisumu county kenya standardized open ended questionnaire key informant interview guide used collect quantitative qualitative data study finding demonstrated high level perceived utilization emrs within hiv aid project across selected health facility statistically significant positive correlation utilization emrs management outcome hiv aid project utilization emrs data service could explain significant variation management outcome hiv aid project using content analysis unearthed five
"Background: Telehealth improves access to health care and potentially leads to better clinical outcomes. However, digital competence could be an essential factor in ensuring its adoption, particularly among older adults. This study evaluated the acceptability and perception of a mobile application platform among Thai older patients with chronic diseases according to their demographics and digital skills. Methods: The demographic information and internet usage profiles of patients with nonmalignant chronic diseases, including chronic viral hepatitis, were collected. Participants were grouped based on their self-perceived digital familiarity. The chi-square test was used to evaluate the associations between the parameters. Results: Among 710 participants (61.7% women, mean age: 66.2 years), digital familiarity was significantly higher among individuals aged <70 years, men, those with a bachelor’s degree or higher, those with higher incomes, and Bangkok residents (p < 0.001). In this study, regular use of smartphones and the internet, but not messaging applications, was",Exploring the Feasibility and Acceptability of a Telehealth Platform for Older Adults with Noncommunicable Diseases and Chronic Viral Hepatitis,electronic health records,Article,,background telehealth improves access health care potentially lead better clinical outcome however digital competence could essential factor ensuring adoption particularly among older adult study evaluated acceptability perception mobile application platform among thai older patient chronic disease according demographic digital skill method demographic information internet usage profile patient nonmalignant chronic disease including chronic viral hepatitis collected participant grouped based self perceived digital familiarity chi square test used evaluate association parameter result among participant woman mean age year digital familiarity significantly higher among individual aged year men bachelor degree higher higher income bangkok resident study regular use smartphones internet messaging application
"Background and Aims: In New Zealand, the Māori and Pacific Islander population has a higher rate of hospital admissions for gout; however, we lack data for these population groups who reside in Australia. This study examined the pattern of hospital gout admissions in New South Wales (NSW), the most populous state of Australia, with a particular focus on the Māori and Pacific Islander population. Methods: This was a retrospective cohort study exploring the pattern of gout admissions in NSW public hospitals in the financial years 2017/2018 to 2019/2020. All patients aged ≥20 years, admitted to hospital with gout as the principal diagnosis between 1 July 2017 and 30 June 2020, were included in this study. Outcomes measured included the number and costs of these hospital admissions. Crude and age-standardised admission rates were calculated. Results: Western Sydney Local Health District (LHD) and South Western Sydney LHD had the highest number of","Healthcare burden of public hospital gout admissions in New South Wales, Australia",electronic health records,Article,,background aim new zealand ori pacific islander population higher rate hospital admission gout however lack data population group reside australia study examined pattern hospital gout admission new south wale nsw populous state australia particular focus ori pacific islander population method retrospective cohort study exploring pattern gout admission nsw public hospital financial year patient aged year admitted hospital gout principal diagnosis july june included study outcome measured included number cost hospital admission crude age standardised admission rate calculated result western sydney local health district lhd south western sydney lhd highest number
"Background: Antimicrobial medication errors (AMEs) pose critical threats to patient safety and fuel the global rise of antimicrobial resistance. This study retrospectively examines AMEs between 2022 and 2024 at a tertiary care hospital in Riyadh, Saudi Arabia, along with its affiliated community health centers. Objectives: The study aimed to identify prescribing vulnerabilities, assess severity outcomes, and propose targeted interventions to enhance safety and stewardship practices. Methods: This retrospective cohort study was employed to analyze AME, utilizing electronic health records, pharmacy databases, and institutional incident reporting systems reviewed by the Medication Safety Committee across the prescribing, transcribing, dispensing, and administration phases. Data were stratified by type, severity category, drug class, duration, location, and staff role with cross-validation through pharmacy audits. Results: Prescribing errors consistently dominated across all 3 years, 71.4% (2022), 66.7% (2023), and 68.0% (2024), indicating entrenched clinical vulnerabilities. Dispensing errors steadily decreased over the study period, while supply and","Types, Trends, and Patterns of Reported Antimicrobial Errors in a Tertiary Care Hospital in Saudi Arabia",electronic health records,Article,,background antimicrobial medication error ames pose critical threat patient safety fuel global rise antimicrobial resistance study retrospectively examines ames tertiary care hospital riyadh saudi arabia along affiliated community health center objective study aimed identify prescribing vulnerability assess severity outcome propose targeted intervention enhance safety stewardship practice method retrospective cohort study employed analyze ame utilizing electronic health record pharmacy database institutional incident reporting system reviewed medication safety committee across prescribing transcribing dispensing administration phase data stratified type severity category drug class duration location staff role cross validation pharmacy audit result prescribing error consistently dominated across year indicating entrenched clinical vulnerability dispensing error steadily decreased study period supply
"Background: Practical knowledge of how to address patients’ social needs could have a large health impact. Objective: Describe a scalable electronic health record (EHR)facilitated, clinic-to-community linkage (CCL) program that addresses social needs at 6 clinics in 4 health systems. Research Design: Primary care teams referred eligible patients to United Way 211 (UW 211) via a point-of-care EHR referral between 2018 and 2023. Patients were eligible if they were adults with uncontrolled blood pressure or blood sugar or 2–17 years old with overweight/obesity or asthma. UW 211 referred patients to assess and connect them with community resources and provided electronic feedback to the EHR. We conducted descriptive analyses of process measures (eg, patients referred, needs identified, need resolution). We then conducted pre-post analyses of selected health outcomes (ie, blood pressure, weight, and asthma exacerbations) versus comparison clinics. Results: Referral ranges varied by clinic from 3% to 43%, with 1224 total patients",The Impact of a Bidirectional Clinic to Community Social Care Referral Program,electronic health records,Article,,background practical knowledge address patient social need could large health impact objective describe scalable electronic health record [Cluster] facilitated clinic community linkage ccl program address social need clinic health system research design primary care team referred eligible patient united way uw via point care [Cluster] referral patient eligible adult uncontrolled blood pressure blood sugar year old overweight obesity asthma uw referred patient assess connect community resource provided electronic feedback [Cluster] conducted descriptive analysis process measure eg patient referred need identified need resolution conducted pre post analysis selected health outcome ie blood pressure weight asthma exacerbation versus comparison clinic result referral range varied clinic total patient
